question,gemma3_answer
"Ngokwesicatshulwa, yintoni enakuthathwa njengengcebiso echanekileyo yokudlala iaccordion ngempumelelo?",3
"Xa udlala iaccordion, yeyiphi kwezi zilandelayo eya kunceda ukunyusa umthamo?",2
Kutheni imifanekiso kumabonakude enimda esikiweyo?,2
"Ngokwesicatshulwa, zeziphi iingxaki kwezi zlandelayo umntu onokuhlangabezana nazo xa eguqulela umdlalo bhabhanya kwifomathi yeDVD?",1
Wawuyimise phi inkampu umkhosi waseBritain?,1
Ngumtyikityo kabani owavela kwuxwebhu lokuqala olubhalwe ngesandla?,3
"Kwezi ndawo zilandelayo, izibhengezo zokuzimelazi zikaDunlop zafika phi ekugqibeleni?",3
Yayime phi imikhosi kaKholoneli uStark?,1
"Ngokwesicatshulwa, amadoda kaStarks alandisa nini icingo?",2
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo yaba lelinye lawona maxesha anobudlobongela eChina?",4
"Ngokwesicatshulwa, yintoni eyinyani ngekholoni yomkhosi weembovane engena kwixesha lokufuduka?",1
"Ngokwesicatshulwa, yeyiphi ingxelo ebonisa ngokuchanekileyo imikhwa yekholoni yomkhosi weembovane ngexesha lokufuduka?",3
Yeyiphi kwezi zilandelayo eza kuqhubeka nangona kukho iimpawu zangaphandle?,1
Leliphi igama elichaza abantu ababonisa iintlukwano zophawu olubonakalayo?,4
Yeyipha kwezi zilandelayo eligama elichanekileyo lezinto eziphilayo ezihlala kwindawo ethile?,4
Yeyiphi kwezi zilandelayo engai kuba ngumzekelo wento yokhenketho esekwe kwindalo?,3
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo esisiseko senkqubo yezothutho?",2
Amasuntswana ajikeleza umbindi anoluphi uhlobo lwecharge?,3
Umbindi wenziwe ngeyiphi imisuntswana?,4
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo engumzekelo five bit binary system?",3
Iibinary digits zikwabizwa ntoni?,1
Yeyiphi kwezi zilandelayo engakhankanywanga kwisicatshulwa njengenzuzo ephambili yokubhloga komfundi?,2
Yeyiphi imiba kule ilandelayo ngokubhloga ebekwe njengenkuthazo ukuze abafundi baphuchule ubuchule bokubhala?,2
Yeyiphi kwezi zilandelayo engeyiyo inzuzo yonxibelelwano oluphazamisekileyo kubafundi? ,2
"Ngokwesicatshulwa, yeyiphi imiba elandelayo yokulibaziseka konxibelelwano engatshintshatshintshiyo?",2
Yintoni engakhankanywanga kwisicatshulwa njengento umntu anokuyidibanisa neenqaba zeeminyaka ephakathi?,4
Yeyiphi kwezi zilandelayo engakhankanywanga kwisicatshulwa njengevumba okanye isandi esinokuvakaliswa phakathi? kwamabhodlo enqanaba?,1
Yeyiphi kwezi zilanelayo eyinkcazo echanekileyo ngeNqaba yaseKirby Muxloe?,4
Zeziphi iimpawu kwezi zilandelayo ezinokuthathwa njengezingaqhelekanga kwiNqaba yaseKirby Muxloe ngexesha elichazwe kwisicatshulwa?,1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo eyokuba lelona ncedo kumbaleki olungiselela ixesha lokubaleka elizayo?",4
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo ebaluleke kakhulu kwimbaleki ekwinqanaba eliphezulu ebaleka isiqingatha semayile?",2
"Kwimbaleki, yeyiphi kwezi zilandelayo enganakufezwa kuphela ngezenzo zesondlo?",4
"Ngokusekelwe kwisicatshulwa, yeyiphi kwezi zilandelayo engacetyiswayo njengendlela yokuba iimbaleki eziselula zifumane ulonwabo elingakumbi kwimidlalo yazo?",4
"Ngokwesicatshulwa, kutheni imbaleki yomgama ophakathi inokuthenga isixhobo esixabisa kakhulu?",1
"Ngokwesicatshulwa, yintoni eyimfuneko kwimbaleki yomgama ophakathi?",1
Ngubani owafumana inuclear magnetic resonance? ,3
Yanikwa ngowuphi unyaka ipatenti yokuqala ye x reyi? ,1
"Ngokwesicatshulwa, yintoni ekufuneka abantu bayiqonde kakuhle ukuze batolike izenzo zomzimba zabanye?",2
"Ngokwesicatshulwa, ukuqonda injongo kunceda abantu ukuba benze ntoni?",1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo eyisishwankathelo esichanekileyo ngeyona njongo yeAI?",4
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo ehlala inxulunyaniswa neAI?",2
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo eyingamandla omntu oneepatheni zokucinga ezichanekileyo?",4
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo engathathwa ngento umntu onokucinga okuchanekileyo anokugxila kuyo?",1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo engabonwa njengentshukumo eyenzeka ngokukhawuleza?",3
Zeziphi iingxelo kwezi zilandelayo ngentshukumo eyenzeka ngokukhawuleza ezingeyonyani?,2
Yeyiphi kwezi zilandelayo eyabaluleka ngakumbi ngenxa yokuvuselelwa kobugcisa baseEurope kunye nemisebenzi ebhaliweyo? ,2
"Ngenxa yokuvuselelwa kobugcisa baseEurope kunye nemisebenzi ebhaliweyo, kwagxinisiswa kancinci kweyiphi kwezi zilandelayo?",1
Yeyiphi kwezi zilandelayo engabonisi inkuthazo yokusebenzisa i intanethi kubudlelwane obuqhubekayo?,4
Yeyiphi kwezi zilandelayo engabonisi inkuthazo yokusebenzisa i intanethi ngobandakanyeko lobuqu?,1
Intshona Europe iyeke nini ukuxhomekeka kakhulu kwiimpembelelo kwaye iqale ukuphuhlisa isimbo sayo?,1
Ukusebenzisa amaqosha ukubopha iimpahla yayisisiphumo santoni? ,3
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo ethathwa njengesisombululo esifanelekileyo kwimiba yendawo esingqongileyo?",3
"Ngokwesicatshulwa, zeziphi izisombululo kwezi zilandelayo ezingena kuthathwa njengonyango lweempawu zemiba yendawo esingqongileyo?",2
Imfazwe yokuqala eEurope yayikweliphi ilizwe apho umba walo ophambili kwathiwa unxulumene nolungelelwaniso lwamandla konuka ibe nomxholo wonqulo?,4
Yeyiphi imfazwe ngamanye amaxesha echazwa njengemfazwe yokugqibela ‘yonqulo’?,1
Yeyiphi kule miba ilandelayo yecawe yamaKhatholika eyayingaqwalaselwanga?,3
"Ngokwesicatshulwa, ngubani owabulawa eVersailles?",4
Yeyiphi kwezi zilandelayo engazange inyanzeliswe kuKumkani noKumkanikazi ligquba?,2
Yeyiphi kwezi zilandelayo engesiso isiphumo semfazwe engaqhelekanga yaselwandle yaseBritain?,3
Yeyiphi ingxelo engachazi ngokuchanekileyo ukuvalelwa konxubelelwabo lwaseGermany elwandle yiBritain?,2
"Ngokusekelwe kwisicatshulwa, ngubani onokuthi afunyaniswe ukuba une Multiple Sclerosis?",3
"Ngokwesicatshulwa, abathathi nxaxheba kwizinto eziqhelekileyo bafuna inkxaso engakumbi kwintoni?",1
"Ngokwesicatshulwa, udla ngokudlalwa njani umdlalo yokulwa ngamakrele?",1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo eya kuba sisalathisi esinamandla setyefu engaphakathi?",4
"Ngokwesicatshulwa, leliphi inyathelo lokuqala elifanelekileyo xa kuhlolwa ixhoba?",1
Zeziphi kwezi ngxelo zilandelayo ezingayingachazi ngokuchanekileyo inkqubo yokuhlola ixhoba?,1
Loluphi utshintsho olwaphenjelelwa yiFrench Revolution lube nefuthe elibonakalayo kubemi abangabasebenzi?,2
"Emva kweFrench Revolution, impumelelo emkhosini nakweminye imisebenzi yayizakusekelwa kwintoni?",4
Yeyiphi inkonzo yeRiphabhliki ekuthiwa ibangela ukungoneliseki kumazwe aphuhlileyo?,3
"Ngokwesicatshulwa, yintoni enokutshiwo ngeekqubo zezothutho zikawonke wonke?",3
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo enokuba nzima ukuyiqikelela ngenxa yokungacingeleki kwabaqhubi?",1
Yeyiphi kwezi zilandelayo esetyenziswayo xa kuboniswa ukuhamba kwetrafiki ngokwemathematika?,3
Basebenzisa ntoni uHershey noChase ukumilisa iDNA yabo? ,1
Ukukwazi ukudlulisela inguqu kwinzala kuxhomekeke entweni?,3
"Ngokusekelwe kwiinkcukacha kwisicatshulwa, iziphumo ezahlukeneyo zenguqu azixhomekeki entweni?",3
Yeyiphi kwezi zilandelayo yayingesosizathu sokuba iinkcubeko zamandulo zifuye iibhokhwe?,3
Injongo yegalufa kukusebenzisa ezona ntoni ezincinci?,1
"Ebaleni legalufa, ingca isikwe phi yabamfutshane kakhulu?",1
Yeyiphi injongo eqhelekileyo yovavanyo?,1
"Ngokwesicatshulwa, yintoni engancedi ukukhokelela uphando lwenzululwazi?",3
"Ngokwesicatshulwa, yeyiphi ingxelo ngeenkanyamba enegyiyo inyani?",1
"Ngokusekelwe kwisicatshulwa, zeziphi iingxelo kwezi zilandelayo ezichaza ngokuchanekileyo uninzi lweenkanyamba?",3
Yeyiphi kwezi zilandelayo abantu abaqale ukuyenza ngenkulungwana ye 16?,4
Abantu banexesha elingakanani bekhulisa izinto besebenzisa iilensi?,3
"Ngokusekelwe kwisicatshulwa, umqolomba kaMuhammad uthetha ntoni ngezenzo zakhe zomoya okanye ngemigaqo yakhe yokuziphatha?",1
"Ngokwesicatshulwa, intsimbi yayisetyenziselwa ntoni ekuqaleni?",1
"Ngokwesicatshulwa, kutheni ukuze kufakwe amavili entsimbi endaweni yamaplanga?",1
"Ngokwesicatshulwa, yintoni ephembelela abantu ngexesha leRomanticism?",2
Zeziphi iingxelo kwezi zilandelayo ezingabonisi uluvo olubanzi lweteknoloji determinism? ,1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo enganakudtyaniswa nokutsala isaphetha?",4
Ngokwesicatshulwa yeyiphi kwezi zilandelayo edintyaniswa nesandi esithobileyo?,2
Iintsalela zibonisa ukuba izandla ekugqibeleni ziqhelaniswe ukuba zisetyenziswe ikakhulu ekwenza eyiphi kwezi landelayo?,3
Yeyiphi kwezi zilandelayo echaza ngokuchanekileyo amathambo ezandla neenyawo etshimpanzi? ,1
Ukhetho lususa utshintsho olutsha lwemfuzo kweliphi iqela?,3
Yeyiphi inkqubo enoxanduva lokongeza ukwahluka kwemfuzo?,3
"Ngokusekelwe kwiinkcukacha kwisicatshulwa, yeyiphi kwezi ekufuneka ityiwe yipramite ukuze isombulule “ingxaki yeprotheyini”?",2
"Ngokwesicatshulwa, zeziphi iingxaki kwezi zilandelayo ezingabangelwa kukungqongophala kwee amini acids ezibalulekileyo?",2
Amalungu enkcubeko ephantsi kwenye inkcubeko ahlala ebonisa njani ukunxulumana kwabo neqela?,1
"Ngokwethiyory eboniswe kwisicatshulwa, kunokwenzeka ntoni emntwaneni ozibona emnye neqela lobuhlanga oluncinane ekucingelwa ukuba libandakanyeka ekuziphatheni okusongelayo?",1
"Ngokwesicatshulwa, ulwazi lomntwana malunga neengcinga zobuhlanga lunokuba nefuthe kweyiphi kwezi zilandelayo?",2
"Ngokwesicatshulea, yeyiphi kwezi zilandelayo enokuthi ihambelane nokukhuliswa komntwana okhule engadibanaga nabantu?",3
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo echaza ngokuchanekileyo ukuziphatha komntwana okhule engadibanaga nabantu?",2
"Ngokusekelwe kwisicatshulwa, yeyiphi kwezi ndlela zilandelayo ezingahambelani nezolimo olugxile kulimo lokuziphilisa?",2
Yeyiphi kwezi zilandelayo eyichaza ngokuchanekileyo inkqubo yolimo lokuziphilisa?,2
Ukundwendwela imuseum kungawela phantsi koluphi udidi lokhenketho?,3
"Ngokwesicatshulwa, yitoni enokuhamba yinto ephambili kubahambi abazonwabisayo?",3
Yintoni ekhankanywe kwisicatshulwa njengento eya nceda ekwehlisa uloyiko lotshintsho phakathi kwecawe yasekuhlaleni?,1
"Ngokwesicatshulwa, ukufumana ukuqonda kwembali yakho kunokunceda ngantoni?",1
Zeziphi iingxelo kwezi ziandelayo ezichaza ngokuchanekileyo indlela yasemva kwexesha langoku lokufunda?,4
Zeziphi iingxelo kwezi zilandelayo ezingabonisi ngokuchanekileyo indlela yangoku yokufunda?,4
"Emva ngokuvuka ngabom ngexesha lokulala eliqhelekileyo, zeziphi kwezi ezinokuphazamisa inkqubo yokuphazamiseka yokulala?",1
Yeyiphi kwezi zilandelayo engeyonkcazelo echanekileyo yokuphazamiseka kokulala?,4
"Njengoko ingqondo izama ukuphupha into oyiqondayo rhoqo, yintoni eyandiswayo?",4
Yeyiphi kwezi mpembelelo zingalunganga ezinokubangelwa kukuphupha okuqondayo rhoqo emzimbeni?,2
"Ngokwesicatshulw, amaqela aqhelekileyo namaqela e intanethi afana njani?",3
"Ngokusekewle kwisicatshulwa, yeyiphi ingxelo malunga amaqela omzimba nawe intanethi engeyiyo inyani?",3
Yeyiphi kwezi zilandelayo engeyiyo into ekugxilwe kuyo ziithiyori zomxholo?,1
Yeyiphi kwezi zilandelayo engeyiyo into yolawulo lwesithathu?,1
Yeyiphi kwezi zilandelayo engachazi ifomathi yokufota ye35mm?,1
"Ngokwesicatshulwa, njengoko abavelisi benyuse umgangatho wemveliso yelensi, ziphuchulwe njani iilensi zokusondeza?",1
"Ngokusekelwe kwiinkcukacha kwisicatshulwa, ilensi yokusondeza ingakhethwa nini kunelensi ezinobude bokugxila?",1
Yeyiphi kwezi zilandelayo engayi kuthathwa njengenkcazelo echanekileyo ngenkolelo yokuba ulwazi lukaThixo linokufunyanwa ngamava obuqu?,2
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo abalandelo benkolelo yokuba ulwazi lukaThixo linokufunyanwa ngamava obuqu abangenkugxila kuyo?",2
"Ngokwesicatshulwa, ngubani osenokuba waqala uluntu lwezolimo?",3
Ngokwesicatshulwa iqela elalizingela imoas yayingabemi bokuqala beyiphi indawo?,2
Yeyiphi imeko apho ukusebenzisa indlela yePureland yeorigami enokunceda umsongi?,4
Yeyiphi kwezi zilandelayo engayichazi ngokuchanekileyo iPureland origami?,1
