premise,hypothesis,gpt_reply
Um estudo afirma que jogar videogame pode aumentar a inteligência,Um estudo afirma que jogar videogame pode diminuir a inteligência,"contradiction
"
"Um indivíduo está sentado à beira do mar, sendo atingido por uma onda",O indivíduo está usando um chapéu de palha enquanto está sentado à beira do mar,"neutral
"
Uma embalagem de presente decorada com um personagem de desenho animado,Há um personagem de desenho animado na embalagem do presente.,"entailment
"
Um profissional de saúde está realizando radioterapia em um paciente deitado,O profissional de saúde tem muitos anos de experiência em radioterapia.,"neutral
"
Uma garota pequena no vestido vermelho está correndo na areia,Uma criança está correndo na areia.,"entailment
"
Um helicóptero é ilustrado voando entre as nuvens,Não há helicóptero voando entre as nuvens,"contradiction
"
A água está sendo derramada na chaleira pelo homem,O homem está usando uma camisa azul,"neutral
"
Um bolo retangular está coberto com ganache e decorado com raspas de chocolate preto na lateral e topo,O bolo retangular está sem cobertura e sem decoração,"contradiction
"
Atores e atrizes da peça estão vestidos com seus figurinos para a promoção do espetáculo,Os atores e atrizes têm experiência em teatro,"neutral
"
O céu está nublado e ventando,O céu está limpo e sem vento,"contradiction
"
"Relógios digitais estão disponíveis nas cores dourada, rosé e prata",Relógios digitais possuem alarme.,"neutral
"
Três palhaças estão se apresentando no espetáculo,Uma das palhaças tem uma peruca azul,"neutral
"
Indivíduos vestindo roupas de frio estão sendo fornecidos com máscaras pela equipe do governo local,As pessoas estão recebendo máscaras da equipe do governo local,"entailment
"
Um homem está degustando um prato de frutos do mar,O homem está comendo frutos do mar.,"entailment
"
Uma criança está correndo atrás de uma bola em um campo de futebol,O campo de futebol está bem cuidado e a grama está verde e cortada.,"neutral
"
Uma reunião está ocorrendo virtualmente com a participação de várias pessoas apresentadas em formato de mosaico,Várias pessoas estão participando de uma reunião virtual no formato de mosaico,"entailment
"
"Potes, tigelas e copos de vidro estão expostos, com uma das tigelas contendo peras",Os potes de vidro estão cheios de compota de maçã.,"neutral
"
Uma máscara branca e um par de luvas azuis descartáveis estão jogadas no chão,Uma enfermeira deixou cair sua máscara e luvas no chão.,"neutral
"
Um homem está dirigindo um carro para o fogo,O homem está conduzindo o carro para longe do fogo,"contradiction
"
Um manequim posa para fotos usando uma videira no cenário,O manequim está sendo fotografado com uma videira ao fundo,"entailment
"
A menina está lendo um livro de histórias em sua cama antes de dormir,A menina está em sua cama,"entailment
"
